nohup: ignoring input
 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:4500
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 131-963-163
127.0.0.1 - - [27/Aug/2025 19:32:48] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:32:49] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:46] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 19:35:46] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:46] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:50] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [27/Aug/2025 19:35:51] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:51] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:51] "GET /assets/packages/package-jquery/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:51] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:55] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Bold.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:55] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Regular.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:55] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2025 19:35:56] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:26:25] "[33mGET /robots.txt HTTP/1.1[0m" 404 -
127.0.0.1 - - [28/Aug/2025 02:28:06] "[31m[1mGET /register HTTP/1.1[0m" 403 -
127.0.0.1 - - [28/Aug/2025 02:37:18] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [28/Aug/2025 02:37:18] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:19] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:20] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [28/Aug/2025 02:37:20] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:21] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.css HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:21] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:21] "GET /assets/packages/package-jquery/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:22] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Bold.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:22] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/LatoLatin-Regular.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 02:37:22] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:51] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [28/Aug/2025 11:33:52] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:53] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [28/Aug/2025 11:33:54] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:54] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:57] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [28/Aug/2025 11:33:57] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:57] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.css HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:57] "GET /assets/packages/package-jquery/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:58] "GET /assets/packages/package-fomantic-ui/semantic/dist/semantic.min.js HTTP/1.1" 200 -
127.0.0.1 - - [28/Aug/2025 11:33:59] "GET /assets/packages/package-fomantic-ui/semantic/dist/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 -
